Name;CAS;Acronym;Formula;Lifetime (yr);Radiative efficiency (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP100 (W m-2 yr kg-1);GWP100;AGWP500 (W m-2 yr kg-1);GWP500;AGTP50 (K kg-1);GTP50;AGTP100 (K kg-1);GTP100;CGTP50 (yr);CGTP100 (yr)
1,1-dichloro-1,2-difluoroethane;1842-05-3;HCFC-132c;CH2FCCl2F;4.1;0.169;2.96E-11;1220;3.06E-11;342;3.06E-11;97.6;3.34E-14;78.1;2.47E-14;62.7;34800;41300
2-chloro-1,1,1-trifluoroethane;75-88-7;HCFC-133a;CH2ClCF3;4.6;0.15;3.34E-11;1370;3.47E-11;388;3.47E-11;111;3.82E-14;89.3;2.81E-14;71.3;39400;46800
1,2-dichloro-1-fluoroethane;430-57-9;HCFC-141;CH2ClCHClF;1.14;0.072;4.08E-12;168;4.17E-12;46.6;4.17E-12;13.3;4.41E-15;10.3;3.33E-15;8.43;4770;5650
1,1-dichloro-1-fluoroethane;1717-00-6;HCFC-141b;CH3CCl2F;9.4;0.161;6.59E-11;2710;7.70E-11;860;7.70E-11;246;1.15E-13;269;6.40E-14;162;85800;103000
1-chloro-1,1-difluoroethane;75-68-3;HCFC-142b;CH3CClF2;18;0.193;1.34E-10;5510;2.05E-10;2300;2.07E-10;658;6.11E-13;1430;2.03E-13;514;211000;271000
3,3-dichloro-1,1,1,2,2-pentafluoropropane;422-56-0;HCFC-225ca;CHCl2CF2CF3;1.9;0.219;1.20E-11;491;1.22E-11;137;1.22E-11;39;1.30E-14;30.4;9.79E-15;24.8;14000;16600
1,3-dichloro-1,1,2,2,3-pentafluoropropane;507-55-1;HCFC-225cb;CHClFCF2CClF2;5.9;0.293;4.78E-11;1960;5.08E-11;568;5.08E-11;162;5.82E-14;136;4.14E-14;105;57500;68300
(e)-1-chloro-3,3,3-trifluoroprop-1-ene;102687-65-0;HCFO-1233zd(E);(E)-CF3CH=CHCl;0.116;0.065;3.40E-13;14;3.47E-13;3.88;3.47E-13;1.11;3.64E-16;0.851;2.76E-16;0.7;398;471
1-chloro-3,3,3-trifluoroprop-1-ene;99728-16-2;HCFO-1233zd(Z);(Z)-CF3CH=CHCl;0.036;0.025;3.98E-14;1.64;4.06E-14;0.454;4.06E-14;0.129;4.25E-17;0.099;3.23E-17;0.082;46.6;55.2
(e)-1-chloro-2-fluoroethene;460-16-2;;(E/Z)-CHCl=CHF;0.005;0.001;3.20E-16;0.013;3.27E-16;0.004;3.27E-16;0.001;3.42E-19;0.001;2.60E-19;0.001;0.375;0.444
Trifluoromethane;75-46-7;HFC-23;CHF3;228;0.191;3.01E-10;12400;1.31E-09;14600;3.30E-09;10500;6.60E-12;15400;5.95E-12;15100;;
Difluoromethane;75-10-5;HFC-32;CH2F2;5.4;0.111;6.55E-11;2690;6.90E-11;771;6.90E-11;220;7.75E-14;181;5.61E-14;142;78200;92900
Fluoromethane;593-53-3;HFC-41;CH3F;2.8;0.025;1.18E-11;485;1.21E-11;135;1.21E-11;38.6;1.30E-14;30.4;9.72E-15;24.6;13800;16400
1,1,1,2,2-pentafluoroethane;354-33-6;HFC-125;CHF2CF3;30;0.234;1.64E-10;6740;3.35E-10;3740;3.49E-10;1110;1.41E-12;3300;5.12E-13;1300;;
1,1,2,2-tetrafluoroethane;359-35-3;HFC-134;CHF2CHF2;10;0.194;9.50E-11;3900;1.13E-10;1260;1.13E-10;361;1.80E-13;420;9.44E-14;239;126000;151000
1,1,1,2-tetrafluoroethane;811-97-2;HFC-134a;CH2FCF3;14;0.167;1.01E-10;4140;1.37E-10;1530;1.37E-10;436;3.14E-13;733;1.21E-13;306;147000;181000
1,1,2-trifluoroethane;430-66-0;HFC-143;CH2FCHF2;3.6;0.128;3.17E-11;1300;3.26E-11;364;3.26E-11;104;3.53E-14;82.6;2.63E-14;66.6;37100;44000
1,1,1-trifluoroethane;420-46-2;HFC-143a;CH3CF3;51;0.168;1.91E-10;7840;5.20E-10;5810;6.09E-10;1940;2.53E-12;5910;1.28E-12;3250;;
1,2-difluoroethane;624-72-6;HFC-152;CH2FCH2F;0.471;0.045;1.89E-12;77.6;1.93E-12;21.5;1.93E-12;6.14;2.03E-15;4.74;1.53E-15;3.89;2210;2610
1,1-difluoroethane;75-37-6;HFC-152a;CH3CHF2;1.6;0.102;1.44E-11;591;1.47E-11;164;1.47E-11;46.8;1.56E-14;36.5;1.18E-14;29.8;16800;19900
Fluoroethane;353-36-6;HFC-161;CH3CH2F;0.219;0.016;4.24E-13;17.4;4.33E-13;4.84;4.33E-13;1.38;4.54E-16;1.06;3.44E-16;0.872;497;588
1,1,1,2,2,3,3-heptafluoropropane;2252-84-8;HFC-227ca;CF3CF2CHF2;30;0.264;1.31E-10;5370;2.67E-10;2980;2.78E-10;885;1.12E-12;2620;4.07E-13;1030;;
1,1,1,2,3,3,3-heptafluoropropane;431-89-0;HFC-227ea;CF3CHFCF3;36;0.273;1.42E-10;5850;3.22E-10;3600;3.45E-10;1100;1.45E-12;3400;5.88E-13;1490;;
1,1,1,2,2,3-hexafluoropropane;677-56-5;HFC-236cb;CH2FCF2CF3;13.4;0.231;9.12E-11;3750;1.21E-10;1350;1.21E-10;387;2.65E-13;620;1.06E-13;268;131000;161000
1,1,1,2,3,3-hexafluoropropane;431-63-0;HFC-236ea;CHF2CHFCF3;11.4;0.3;1.08E-10;4420;1.34E-10;1500;1.34E-10;428;2.45E-13;572;1.14E-13;288;147000;179000
1,1,1,3,3,3-hexafluoropropane;690-39-1;HFC-236fa;CF3CH2CF3;213;0.251;1.81E-10;7450;7.77E-10;8690;1.90E-09;6040;3.93E-12;9200;3.50E-12;8870;;
1,1,2,2,3-pentafluoropropane;679-86-7;HFC-245ca;CH2FCF2CHF2;6.6;0.24;6.53E-11;2680;7.05E-11;787;7.05E-11;225;8.36E-14;196;5.76E-14;146;79600;94700
1,1,1,2,2-pentafluoropropane;1814-88-6;HFC-245cb;CF3CF2CH3;39.9;0.251;1.70E-10;6970;4.07E-10;4550;4.45E-10;1420;1.89E-12;4410;8.17E-13;2070;;
1,1,2,3,3-pentafluoropropane;24270-66-4;HFC-245ea;CHF2CHFCHF2;3.2;0.16;2.22E-11;912;2.28E-11;255;2.28E-11;72.6;2.46E-14;57.4;1.83E-14;46.5;26000;30800
1,1,1,2,3-pentafluoropropane;431-31-2;HFC-245eb;CH2FCHFCF3;3.2;0.204;2.83E-11;1160;2.90E-11;325;2.90E-11;92.6;3.13E-14;73.2;2.34E-14;59.2;33100;39200
1,1,1,3,3-pentafluoropropane;460-73-1;HFC-245fa;CHF2CH2CF3;7.9;0.245;7.70E-11;3170;8.61E-11;962;8.61E-11;274;1.12E-13;262;7.08E-14;180;96700;115000
1,1,1-trifluoropropane;421-07-8;HFC-263fb;CH3CH2CF3;1.1;0.1;6.55E-12;269;6.69E-12;74.8;6.69E-12;21.3;7.07E-15;16.5;5.34E-15;13.5;7660;9070
2,2-difluoropropane;420-45-1;HFC-272ca;CH3CF2CH3;9;0.08;4.64E-11;1910;5.36E-11;599;5.36E-11;171;7.71E-14;180;4.44E-14;113;59900;71800
1,1,1,2,2,3,3,4,4-nonafluorobutane;375-17-7;HFC-329p;CHF2CF2CF2CF3;32;0.313;1.22E-10;5010;2.59E-10;2890;2.72E-10;866;1.12E-12;2610;4.21E-13;1070;;
1,1,1,3,3-pentafluorobutane;406-58-6;HFC-365mfc;CH3CF2CH2CF3;8.9;0.228;7.11E-11;2920;8.17E-11;914;8.18E-11;261;1.17E-13;272;6.77E-14;172;91400;109000
1,1,1,2,2,3,4,5,5,5-decafluoropentane;138495-42-8;HFC-43-10mee;CF3CHFCHFCF2CF3;17;0.357;9.63E-11;3960;1.43E-10;1600;1.44E-10;458;4.03E-13;943;1.37E-13;347;149000;189000
Trifluoroethylene;359-11-5;HFO-1123;CHF=CF2;0.004;0.002;4.14E-16;0.017;4.22E-16;0.005;4.23E-16;0.001;4.42E-19;0.001;3.36E-19;0.001;0.485;0.574
1,1-difluoroethene;75-38-7;HFO-1132a;CH2=CF2;0.013;0.004;4.60E-15;0.189;4.69E-15;0.052;4.69E-15;0.015;4.91E-18;0.011;3.73E-18;0.009;5.39;6.37
Fluoroethene;75-02-5;HFO-1141;CH2=CHF;0.007;0.002;2.13E-15;0.088;2.17E-15;0.024;2.17E-15;0.007;2.28E-18;0.005;1.73E-18;0.004;2.5;2.95
(z)-1,2,3,3,3-pentafluoroprop-1-ene;5528-43-8;HFO-1225ye(Z);(Z)-CF3CF=CHF;0.027;0.025;3.02E-14;1.24;3.08E-14;0.344;3.08E-14;0.098;3.23E-17;0.075;2.45E-17;0.062;35.3;41.8
(e)-1,2,3,3,3-pentafluoroprop-1-ene;5595-10-8;HFO-1225ye(E);(E)-CF3CF=CHF;0.016;0.015;1.04E-14;0.426;1.06E-14;0.118;1.06E-14;0.034;1.11E-17;0.026;8.41E-18;0.021;12.1;14.4
(z)-1,3,3,3-tetrafluoroprop-1-ene;29118-25-0;HFO-1234ze(Z);(Z)-CF3CH=CHF;0.027;0.02;2.76E-14;1.13;2.81E-14;0.315;2.82E-14;0.09;2.95E-17;0.069;2.24E-17;0.057;32.3;38.2
(e)-1,3,3,3-tetrafluoroprop-1-ene;29118-24-9;HFO-1234ze(E);(E)-CF3CH=CHF;0.052;0.045;1.20E-13;4.94;1.23E-13;1.37;1.23E-13;0.391;1.28E-16;0.3;9.75E-17;0.247;141;167
2,3,3,3-tetrafluoroprop-1-ene;754-12-1;HFO-1234yf;CF3CF=CH2;0.033;0.026;4.40E-14;1.81;4.49E-14;0.501;4.49E-14;0.143;4.70E-17;0.11;3.56E-17;0.09;51.5;60.9
(e)-1,1,1,4,4,4-hexafluorobut-2-ene;66711-86-2;HFO-1336mzz(E);(E)-CF3CH=CHCF3;0.334;0.132;1.57E-12;64.3;1.60E-12;17.9;1.60E-12;5.09;1.68E-15;3.92;1.27E-15;3.22;1830;2170
(z)-1,1,1,4,4,4-hexafluorobut-2-ene;692-49-9;HFO-1336mzz(Z);(Z)-CF3CH=CHCF3;0.074;0.069;1.82E-13;7.48;1.86E-13;2.08;1.86E-13;0.592;1.95E-16;0.455;1.48E-16;0.374;213;252
3,3,3-trifluoroprop-1-ene;677-21-4;HFO-1243zf;CF3CH=CH2;0.025;0.015;2.29E-14;0.94;2.33E-14;0.261;2.34E-14;0.074;2.45E-17;0.057;1.86E-17;0.047;26.8;31.7
3,3,4,4,4-pentafluorobut-1-ene;374-27-6;HFO-1345zfc;CF3CF2CH=CH2;0.025;0.016;1.60E-14;0.656;1.63E-14;0.182;1.63E-14;0.052;1.71E-17;0.04;1.29E-17;0.033;18.7;22.1
3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene;19430-93-4;;n-C4F9CH=CH2;0.025;0.03;1.79E-14;0.734;1.82E-14;0.204;1.82E-14;0.058;1.91E-17;0.045;1.45E-17;0.037;20.9;24.7
3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene;25291-17-2;;n-C6F13CH=CH2;0.025;0.034;1.42E-14;0.584;1.45E-14;0.162;1.45E-14;0.046;1.52E-17;0.036;1.15E-17;0.029;16.6;19.7
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene;21652-58-4;;n-C8F17CH=CH2;0.025;0.038;1.24E-14;0.508;1.26E-14;0.141;1.26E-14;0.04;1.32E-17;0.031;1.00E-17;0.025;14.5;17.1
3,3,3-trifluoro-2-(trifluoromethyl)prop-1-ene;382-10-5;;(CF3)2C=CH2;0.028;0.033;3.30E-14;1.36;3.37E-14;0.377;3.37E-14;0.107;3.53E-17;0.083;2.68E-17;0.068;38.7;45.8
1,1,2,2,3,3-hexafluorocyclopentane;123768-18-3;;cyc (-CF2CF2CF2CH2CH2-);1.6;0.2;1.05E-11;431;1.07E-11;120;1.07E-11;34.2;1.14E-14;26.6;8.57E-15;21.7;12300;14500
1,1,2,2,3,3,4-heptafluorocyclopentane;15290-77-4;;cyc (-CF2CF2CF2CHFCH2-);2.8;0.243;2.02E-11;830;2.07E-11;231;2.07E-11;66;2.22E-14;52;1.66E-14;42.1;23600;28000
1,3,3,4,4,5,5-heptafluorocyclopentene;1892-03-1;;cyc (-CF2CF2CF2CF=CH-);0.61;0.215;3.95E-12;162;4.03E-12;45.1;4.03E-12;12.8;4.24E-15;9.92;3.21E-15;8.14;4620;5470
(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane;158389-18-5;;trans-cyc (-CF2CF2CF2CHFCHF-);3.2;0.259;2.25E-11;925;2.31E-11;258;2.31E-11;73.6;2.49E-14;58.2;1.86E-14;47.1;26300;31200
(e)-1,3,4,4,4-pentafluoro-3-(trifluoromethyl)but-1-ene;14149-41-8;HFO-1438ezy(E);(E)-(CF3)2CFCH=CHF;0.334;0.079;7.21E-13;29.6;7.36E-13;8.22;7.36E-13;2.34;7.73E-16;1.81;5.85E-16;1.48;843;998
3,3,4,4,5,5,5-heptafluoropent-1-ene;355-08-8;HFO-1447fz;CF3(CF2)2CH=CH2;0.025;0.028;2.06E-14;0.847;2.10E-14;0.235;2.10E-14;0.067;2.20E-17;0.051;1.67E-17;0.042;24.1;28.6
1,3,3,4,4-pentafluorocyclobutene;374-31-2;;cyc (-CH=CFCF2CF2-);0.74;0.27;8.10E-12;333;8.27E-12;92.4;8.27E-12;26.4;8.72E-15;20.4;6.59E-15;16.7;9470;11200
3,3,4,4-tetrafluorocyclobutene;2714-38-7;;cyc (-CH=CHCF2CF2-);0.23;0.21;2.24E-12;92.1;2.29E-12;25.6;2.29E-12;7.29;2.40E-15;5.61;1.82E-15;4.61;2620;3100
1,1,1-trichloroethane;71-55-6;Methyl chloroform;CH3CCl3;5;0.065;1.38E-11;567;1.44E-11;161;1.44E-11;46;1.60E-14;37.5;1.17E-14;29.7;16400;19400
Tetrachloromethane;56-23-5;Carbon tetrachloride;CCl4;32;0.166;9.27E-11;3810;1.96E-10;2200;2.06E-10;658;8.49E-13;1990;3.20E-13;810;;
Chloromethane;74-87-3;Methyl chloride;CH3Cl;0.9;0.005;4.85E-13;19.9;4.95E-13;5.54;4.95E-13;1.58;5.23E-16;1.22;3.95E-16;1;567;672
Dichloromethane;75-09-2;Methylene chloride;CH2Cl2;0.493;0.029;9.78E-13;40.2;9.98E-13;11.2;9.98E-13;3.18;1.05E-15;2.46;7.95E-16;2.01;1140;1350
Trichloromethane;67-66-3;Chloroform;CHCl3;0.501;0.074;1.81E-12;74.2;1.84E-12;20.6;1.84E-12;5.87;1.94E-15;4.53;1.47E-15;3.72;2110;2500
Chloroethane;75-00-3;;CH3CH2Cl;0.132;0.004;4.22E-14;1.73;4.30E-14;0.481;4.30E-14;0.137;4.51E-17;0.105;3.42E-17;0.087;49.4;58.4
1,2-dichloroethane;107-06-2;;CH2ClCH2Cl;0.225;0.009;1.14E-13;4.68;1.16E-13;1.3;1.16E-13;0.371;1.22E-16;0.285;9.25E-17;0.234;133;158
1,1,2-trichloroethene;79-01-6;;CHCl=CCl2;0.015;0.006;3.85E-15;0.158;3.93E-15;0.044;3.93E-15;0.013;4.11E-18;0.01;3.12E-18;0.008;4.51;5.34
1,1,2,2-tetrachloroethene;127-18-4;;CCl2=CCl2;0.301;0.052;5.56E-13;22.8;5.67E-13;6.34;5.67E-13;1.81;5.96E-16;1.39;4.51E-16;1.14;651;770
2-chloropropane;75-29-6;;CH3CHClCH3;0.06;0.004;1.58E-14;0.651;1.62E-14;0.181;1.62E-14;0.052;1.69E-17;0.04;1.28E-17;0.033;18.5;21.9
1-chlorobutane;109-69-3;;CH3(CH2)2CH2Cl;0.012;0.001;5.95E-16;0.024;6.07E-16;0.007;6.07E-16;0.002;6.35E-19;0.001;4.82E-19;0.001;0.697;0.824
Bromomethane;74-83-9;Methyl bromide;CH3Br;0.8;0.004;2.13E-13;8.74;2.17E-13;2.43;2.17E-13;0.692;2.29E-16;0.535;1.73E-16;0.438;249;294
Dibromomethane;74-95-3;Methylene bromide;CH2Br2;0.411;0.01;1.33E-13;5.45;1.35E-13;1.51;1.35E-13;0.431;1.42E-16;0.333;1.08E-16;0.273;155;184
Bromodifluoromethane;1511-62-2;Halon-1201;CHBrF2;4.9;0.152;3.25E-11;1340;3.40E-11;380;3.40E-11;108;3.76E-14;88;2.75E-14;69.8;38500;45800
Dibromodifluoromethane;75-61-6;Halon-1202;CBr2F2;2.5;0.272;1.89E-11;775;1.93E-11;216;1.93E-11;61.5;2.07E-14;48.4;1.55E-14;39.3;22000;26100
Bromochlorodifluoromethane;353-59-3;Halon-1211;CBrClF2;16;0.3;1.20E-10;4920;1.73E-10;1930;1.73E-10;552;4.58E-13;1070;1.60E-13;406;182000;229000
Bromotrifluoromethane;75-63-8;Halon-1301;CBrF3;72;0.299;2.02E-10;8320;6.44E-10;7200;8.64E-10;2750;3.23E-12;7560;2.00E-12;5060;;
2-bromo-1,1,1-trifluoroethane;421-06-7;Halon-2301;CH2BrCF3;3.2;0.135;1.55E-11;635;1.59E-11;177;1.59E-11;50.6;1.71E-14;40;1.28E-14;32.4;18100;21400
2-bromo-2-chloro-1,1,1-trifluoroethane;151-67-7;Halon-2311;CHBrClCF3;1;0.133;3.94E-12;162;4.03E-12;45;4.03E-12;12.8;4.25E-15;9.95;3.21E-15;8.14;4610;5460
2-bromo-1,1,1,2-tetrafluoroethane;124-72-1;Halon-2401;CHBrFCF3;2.9;0.189;1.76E-11;723;1.80E-11;201;1.80E-11;57.5;1.94E-14;45.3;1.45E-14;36.7;20600;24400
1,2-dibromo-1,1,2,2-tetrafluoroethane;124-73-2;Halon-2402;CBrF2CBrF2;28;0.312;9.90E-11;4070;1.94E-10;2170;2.00E-10;639;7.91E-13;1850;2.77E-13;702;;
Tribromomethane;75-25-2;;CHBr3;0.156;0.006;2.19E-14;0.901;2.24E-14;0.25;2.24E-14;0.071;2.35E-17;0.055;1.78E-17;0.045;25.7;30.4
Bromochloromethane;74-97-5;Halon-1011;CH2BrCl;0.452;0.02;4.15E-13;17.1;4.24E-13;4.74;4.24E-13;1.35;4.46E-16;1.04;3.37E-16;0.855;486;575
Bromoethane;74-96-4;;CH3CH2Br;0.137;0.006;4.27E-14;1.75;4.36E-14;0.487;4.36E-14;0.139;4.57E-17;0.107;3.46E-17;0.088;50;59.1
1,2-dibromoethane;106-93-4;EDB;CH2BrCH2Br;0.244;0.012;8.94E-14;3.67;9.13E-14;1.02;9.13E-14;0.291;9.58E-17;0.224;7.26E-17;0.184;105;124
1-bromopropane;106-94-5;;CH3CH2CH2Br;0.041;0.002;4.57E-15;0.188;4.66E-15;0.052;4.66E-15;0.015;4.88E-18;0.011;3.71E-18;0.009;5.35;6.33
2-bromopropane;75-26-3;;CH3CHBrCH3;0.055;0.004;1.10E-14;0.453;1.12E-14;0.126;1.12E-14;0.036;1.18E-17;0.028;8.93E-18;0.023;12.9;15.3
Nitrogen trifluoride;7783-54-2;;NF3;569;0.204;3.26E-10;13400;1.56E-09;17400;5.72E-09;18200;7.81E-12;18200;7.89E-12;20000;;
Pentadecafluorotriethylamine;359-70-6;;N(C2F5)3;1000;0.61;1.87E-10;7700;9.23E-10;10300;3.86E-09;12300;4.61E-12;10800;4.81E-12;12200;;
Perfluorotripropylamine;338-83-0;PTPA;N(CF2CF2CF3)3;1000;0.75;1.64E-10;6750;8.08E-10;9030;3.38E-09;10800;4.03E-12;9430;4.21E-12;10700;;
Heptacosafluorotributylamine;311-89-7;PFTBA;N(CF2CF2CF2CF3)3;1000;0.907;1.54E-10;6340;7.59E-10;8490;3.17E-09;10100;3.79E-12;8860;3.96E-12;10000;;
Perfluorotripentylamine;338-84-1;;N(CF2CF2CF2CF2CF3)3;1000;0.95;1.32E-10;5420;6.50E-10;7260;2.72E-09;8650;3.24E-12;7580;3.39E-12;8580;;
Heptafluoroisobutyronitrile;42532-60-5;;(CF3)2CFCN;34.5;0.248;1.11E-10;4580;2.46E-10;2750;2.62E-10;835;1.09E-12;2560;4.31E-13;1090;;
Sulfur hexafluoride;2551-62-4;;SF6;3200;0.567;4.45E-10;18300;2.25E-09;25200;1.07E-08;34100;1.12E-11;26200;1.21E-11;30600;;
Pentafluoro(trifluoromethyl)-lambda6-sulfane;373-80-8;;SF5CF3;800;0.585;3.39E-10;13900;1.65E-09;18500;6.61E-09;21100;8.27E-12;19300;8.54E-12;21600;;
Sulfuryl fluoride;2699-79-8;;SO2F2;36;0.211;1.83E-10;7510;4.14E-10;4630;4.44E-10;1410;1.87E-12;4360;7.56E-13;1920;;
Tetrafluoromethane;75-73-0;PFC-14;CF4;50000;0.099;1.29E-10;5300;6.60E-10;7380;3.32E-09;10600;3.28E-12;7660;3.57E-12;9050;;
Hexafluoroethane;76-16-4;PFC-116;C2F6;10000;0.261;2.18E-10;8940;1.11E-09;12400;5.50E-09;17500;5.51E-12;12900;5.99E-12;15200;;
Octafluoropropane;76-19-7;PFC-218;C3F8;2600;0.27;1.65E-10;6770;8.31E-10;9290;3.89E-09;12400;4.13E-12;9660;4.44E-12;11200;;
Hexafluorocyclobutene;697-11-0;;cyc (-CF=CFCF2CF2-);1.02;0.3;1.10E-11;453;1.13E-11;126;1.13E-11;35.9;1.19E-14;27.8;8.98E-15;22.8;12900;15300
